group,team
A,México
A,Corea del Sur
A,Czech Republic
A,South Africa
B,Suiza
B,Canadá
B,Qatar
B,Bosnia y Herzegovina
C,Scotland
C,Marruecos
C,Brasil
C,Haití
D,Estados Unidos
D,Australia
D,Turquía
D,Paraguay
E,Alemania
E,Curazao
E,Costa de Marfil
E,Ecuador
F,Países Bajos
F,Japón
F,Suecia
F,Túnez
G,Bélgica
G,Egipto
G,Irán
G,Nueva Zelanda
H,España
H,Cape Verde
H,Arabia Saudita
H,Uruguay
I,Francia
I,Senegal
I,Iraq
I,Noruega
J,Argentina
J,Argelia
J,Austria
J,Jordania
K,Portugal
K,RD Congo
K,Uzbekistán
K,Colombia
L,Inglaterra
L,Croacia
L,Ghana
L,Panamá
