fifa_rank,team
1,Argentina (ARG)
2,Spain (ESP)
3,France (FRA)
4,England (ENG)
5,Portugal (POR)
6,Brazil (BRA)
7,Morocco (MAR)
8,Netherlands (NED)
9,Belgium (BEL)
10,Germany (GER)
11,Croatia (CRO)
12,Italy (ITA)
18,Japan (JPN)
19,Switzerland (SUI)
20,IR Iran (IRN)
21,Denmark (DEN)
26,Nigeria (NGA)
27,Australia (AUS)
28,Algeria (ALG)
29,Egypt (EGY)
32,Ukraine (UKR)
33,Côte d'Ivoire (CIV)
34,Panama (PAN)
35,Russia (RUS)
36,Poland (POL)
37,Wales (WAL)
38,Sweden (SWE)
39,Hungary (HUN)
44,Cameroon (CMR)
45,Tunisia (TUN)
46,Congo DR (COD)
47,Slovakia (SVK)
48,Greece (GRE)
49,Venezuela (VEN)
57,Iraq (IRQ)
58,Republic of Ireland (IRL)
59,Slovenia (SVN)
62,Burkina Faso (BFA)
65,Honduras (HON)
66,Albania (ALB)
67,Cabo Verde (CPV)
68,United Arab Emirates (UAE)
69,North Macedonia (MKD)
70,Northern Ireland (NIR)
71,Jamaica (JAM)
72,Georgia (GEO)
73,Ghana (GHA)
74,Iceland (ISL)
75,Finland (FIN)
76,Israel (ISR)
77,Bolivia (BOL)
78,Kosovo (KOS)
79,Oman (OMA)
80,Montenegro (MNE)
81,Guinea (GUI)
82,Curaçao (CUW)
83,Haiti (HAI)
84,Syria (SYR)
85,New Zealand (NZL)
86,Gabon (GAB)
87,Bulgaria (BUL)
88,Angola (ANG)
89,Uganda (UGA)
90,Zambia (ZAM)
91,China PR (CHN)
92,Bahrain (BHR)
93,Benin (BEN)
94,Thailand (THA)
95,Palestine (PLE)
96,Belarus (BLR)
97,Guatemala (GUA)
98,Luxembourg (LUX)
99,Vietnam (VIE)
100,El Salvador (SLV)
101,Tajikistan (TJK)
102,Trinidad and Tobago (TRI)
103,Mozambique (MOZ)
104,Madagascar (MAD)
105,Equatorial Guinea (EQG)
106,Kyrgyz Republic (KGZ)
107,Armenia (ARM)
108,Comoros (COM)
109,Kenya (KEN)
110,Libya (LBY)
111,Kazakhstan (KAZ)
112,Tanzania (TAN)
113,Mauritania (MTN)
114,Niger (NIG)
115,Lebanon (LBN)
116,The Gambia (GAM)
117,Sudan (SDN)
118,Indonesia (IDN)
119,Togo (TOG)
120,Korea DPR (PRK)
121,Namibia (NAM)
122,Sierra Leone (SLE)
123,Faroe Islands (FRO)
124,Cyprus (CYP)
125,Suriname (SUR)
126,Azerbaijan (AZE)
127,Estonia (EST)
128,Rwanda (RWA)
129,Malawi (MWI)
130,Zimbabwe (ZIM)
131,Nicaragua (NCA)
132,Guinea-Bissau (GNB)
133,Kuwait (KUW)
134,Congo (CGO)
135,Philippines (PHI)
136,Malaysia (MAS)
137,Latvia (LVA)
138,India (IND)
139,Central African Republic (CTA)
140,Liberia (LBR)
141,Turkmenistan (TKM)
142,Burundi (BDI)
143,Ethiopia (ETH)
144,Dominican Republic (DOM)
145,Yemen (YEM)
146,Lesotho (LES)
147,Botswana (BOT)
148,Singapore (SGP)
149,Lithuania (LTU)
150,Guyana (GUY)
151,New Caledonia (NCL)
152,St Kitts and Nevis (SKN)
153,Solomon Islands (SOL)
154,Puerto Rico (PUR)
155,Fiji (FIJ)
156,"Hong Kong, China (HKG)"
157,Tahiti (TAH)
158,Myanmar (MYA)
159,Moldova (MDA)
160,Vanuatu (VAN)
161,Malta (MLT)
162,Antigua and Barbuda (ATG)
163,Grenada (GRN)
164,Cuba (CUB)
165,Eswatini (SWZ)
166,St Lucia (LCA)
167,Bermuda (BER)
168,Papua New Guinea (PNG)
169,South Sudan (SSD)
170,St Vincent and the Grenadines (VIN)
171,Afghanistan (AFG)
172,Andorra (AND)
173,Maldives (MDV)
174,Chinese Taipei (TPE)
175,Cambodia (CAM)
176,Montserrat (MSR)
177,Nepal (NEP)
178,Mauritius (MRI)
179,Barbados (BRB)
180,Belize (BLZ)
181,Bangladesh (BAN)
182,Dominica (DMA)
183,Chad (CHA)
184,Eritrea (ERI)
185,Laos (LAO)
186,Cook Islands (COK)
187,Sri Lanka (SRI)
188,Samoa (SAM)
189,Aruba (ARU)
190,Mongolia (MNG)
191,American Samoa (ASA)
192,Bhutan (BHU)
193,Macau (MAC)
194,Brunei Darussalam (BRU)
195,São Tomé and Príncipe (STP)
196,Djibouti (DJI)
197,Cayman Islands (CAY)
198,Pakistan (PAK)
199,Somalia (SOM)
200,Tonga (TGA)
201,Timor-Leste (TLS)
202,Gibraltar (GIB)
203,Guam (GUM)
204,Seychelles (SEY)
205,Turks and Caicos Islands (TCA)
206,Liechtenstein (LIE)
207,Bahamas (BAH)
208,US Virgin Islands (VIR)
209,British Virgin Islands (VGB)
210,Anguilla (AIA)
211,San Marino (SMR)
