team,market_value,top11_value,bench_value
Francia,1523.0,1090.0,433.0
Inglaterra,1363.2,925.0,438.2
España,1222.8,840.0,382.8
Portugal,1005.5,730.0,275.5
Alemania,947.0,675.0,272.0
Brasil,896.4,720.0,176.4
Argentina,807.5,640.0,167.5
Países Bajos,754.2,510.0,244.2
Noruega,589.9,496.0,93.9
Bélgica,547.5,376.0,171.5
Costa de Marfil,522.1,400.0,122.1
Senegal,478.1,390.0,88.1
Turquía,473.7,384.0,89.7
Marruecos,447.7,360.0,87.7
Suecia,406.07,352.0,54.08
Croacia,387.3,316.0,71.3
Estados Unidos,385.65,305.0,80.65
Ecuador,368.7,329.0,39.7
Dinamarca,365.6,286.0,79.6
Uruguay,359.3,291.0,68.3
Suiza,332.5,263.0,69.5
Italia,316.3,268.0,48.3
Colombia,302.35,252.0,50.35
Grecia,275.8,231.0,44.8
Japón,270.85,202.0,68.85
Georgia,260.1,236.5,23.6
Argelia,256.9,212.5,44.4
Ucrania,247.2,197.0,50.2
Austria,245.2,196.0,49.2
Rusia,228.0,158.0,70.0
Ghana,234.35,197.0,37.35
Polonia,231.6,179.0,52.6
Serbia,208.9,163.0,45.9
Hungría,207.45,187.5,19.95
Camerún,199.7,190.0,9.7
Canadá,198.65,165.5,33.15
México,191.85,129.5,62.35
Chequia,188.18,142.0,46.17
Gales,180.85,165.0,15.85
Nigeria,172.95,139.0,33.95
Escocia,170.25,146.0,24.25
Paraguay,153.65,124.0,29.65
Kosovo,147.35,130.7,16.65
Irlanda,147.6,138.0,9.6
Bosnia-Herzegovina,146.4,119.5,26.9
República Democrática del Congo,143.9,125.0,18.9
Corea del Sur,139.05,119.5,19.55
Malí,117.6,100.7,16.9
Egipto,116.47,101.5,14.97
Burkina Faso,110.7,104.5,6.2
Eslovenia,100.7,83.2,17.5
Islandia,89.8,79.3,10.5
Albania,88.8,70.5,18.3
Uzbekistán,85.33,76.1,9.22
Irlanda del Norte,81.1,75.2,5.9
Venezuela,79.15,64.0,15.15
Gambia,79.38,72.5,6.88
Australia,77.45,66.6,10.85
Guinea,73.4,65.8,7.6
Túnez,69.95,55.0,14.95
Montenegro,69.08,62.2,6.88
Israel,68.7,54.5,14.2
Chile,67.0,50.5,16.5
Eslovaquia,59.85,45.6,14.25
Rumanía,57.35,36.2,21.15
Haití,55.9,51.3,4.6
Cabo Verde,54.5,47.0,7.5
Sudáfrica,49.25,32.9,16.35
Angola,46.5,37.5,9.0
Armenia,42.15,38.05,4.1
Finlandia,41.6,30.9,10.7
Arabia Saudita,40.67,31.4,9.28
Guinea-Bisáu,40.45,36.8,3.65
Surinam,36.23,29.45,6.77
Gabón,35.33,31.05,4.28
Panamá,34.55,29.0,5.55
Macedonia del Norte,34.65,28.8,5.85
Nueva Zelanda,34.35,28.0,6.35
Irán,32.05,22.2,9.85
Perú,31.02,24.75,6.28
Bulgaria,30.25,21.9,8.35
Emiratos Árabes Unidos,29.45,20.7,8.75
Costa Rica,29.2,26.1,3.1
Togo,28.6,25.25,3.35
Curazao,25.77,20.6,5.17
Mauritania,26.45,22.75,3.7
Zimbabue,27.82,25.25,2.58
Irak,21.2,15.45,5.75
Honduras,21.23,17.4,3.83
Jordania,20.3,16.0,4.3
Comoras,21.8,18.3,3.5
Catar,19.93,16.18,3.75
Chipre,19.85,14.2,5.65
Indonesia,20.45,16.75,3.7
Azerbaiyán,18.98,12.55,6.42
Benín,18.88,16.3,2.58
Bolivia,19.2,13.8,5.4
Kazajistán,16.5,12.9,3.6
Lituania,16.77,12.55,4.23
Bielorrusia,15.78,10.8,4.97
